## 
moduleName                     + offset   cost   jmp    instr  esp        ninstr taken                          - offset   nottaken                       - offset  
edi: 00000000 esi: 00000000 ebp: 00000000 esp: F68F1228 ebx: 00000000 edx: 00000000 ecx: 00000000 eax: 00000000 eflags: 00000000 
libsimple-accumulator.so       + 000006DD (   5) (   0) (   3) (F68F122C) (   5) libsimple-accumulator.so       + 000006D9 ???                            + 00000000
libsimple-accumulator.so       + 000006D9 (   2) (   0) (   0) (F68F1230) (   2) ???                            + 00000000 ???                            + 00000000
libsimple-accumulator.so       + 000006E9 (   6) (   0) (   3) (F68F121C) (   6) libsimple-accumulator.so       + 000004E0 ???                            + 00000000
libsimple-accumulator.so       + 000004E0 (   1) (   1) (   1) (F68F121C) (   1) ???                            + 00000000 ???                            + 00000000
libsimple-accumulator.so       + 000004E6 (   2) (   0) (   1) (F68F1218) (   2) libsimple-accumulator.so       + 000004A0 ???                            + 00000000
libsimple-accumulator.so       + 000004A0 (   2) (   1) (   1) (F68F1214) (   2) ???                            + 00000000 ???                            + 00000000
ld-2.23.so                     + 00014FE0 (   6) (   0) (   3) (F68F1204) (   6) ld-2.23.so                     + 0000E7E0 ???                            + 00000000
ld-2.23.so                     + 0000E7E0 (   6) (   0) (   3) (F68F11F0) (   6) ld-2.23.so                     + 000198CD ???                            + 00000000
ld-2.23.so                     + 000198CD (   2) (   0) (   0) (F68F11F4) (   2) ???                            + 00000000 ???                            + 00000000
ld-2.23.so                     + 0000E7EB (  22) (   0) (   2) (F68F11C8) (  22) ld-2.23.so                     + 0000E96F ld-2.23.so                     + 0000E831
ld-2.23.so                     + 0000E831 (   3) (   0) (   2) (F68F11C8) (   3) ld-2.23.so                     + 0000E910 ld-2.23.so                     + 0000E83D
ld-2.23.so                     + 0000E83D (   3) (   0) (   2) (F68F11C8) (   3) ld-2.23.so                     + 0000E8F0 ld-2.23.so                     + 0000E84B
ld-2.23.so                     + 0000E84B (  13) (   0) (   2) (F68F11C8) (  13) ld-2.23.so                     + 0000E950 ld-2.23.so                     + 0000E882
ld-2.23.so                     + 0000E950 (   3) (   0) (   1) (F68F11C8) (   3) ld-2.23.so                     + 0000E882 ???                            + 00000000
ld-2.23.so                     + 0000E882 (  11) (   0) (   3) (F68F11A4) (  11) ld-2.23.so                     + 00009A60 ???                            + 00000000
ld-2.23.so                     + 00009A60 (   7) (   0) (   3) (F68F1190) (   7) ld-2.23.so                     + 000198D1 ???                            + 00000000
ld-2.23.so                     + 000198D1 (   2) (   0) (   0) (F68F1194) (   2) ???                            + 00000000 ???                            + 00000000
