## stdin
moduleName                     + offset   cost   jmp    instr  esp        ninstr taken                          - offset   nottaken                       - offset  
edi: 00000000 esi: 00000000 ebp: 00000000 esp: F5B9C228 ebx: 00000000 edx: 00000000 ecx: 00000000 eax: 00000000 eflags: 00000000 
libfmi.so                      + 00000C9D (   6) (   0) (   3) (F5B9C21C) (   6) libfmi.so                      + 00000B3E ???                            + 00000000
libfmi.so                      + 00000B3E (  33) (   0) (   2) (F5B9C1F0) (  33) libfmi.so                      + 00000BBE libfmi.so                      + 00000BAE
libfmi.so                      + 00000BAE (   3) (   0) (   3) (F5B9C1DC) (   3) libc-2.23.so                   + 0005FCA0 ???                            + 00000000
libc-2.23.so                   + 0005FCA0 (   6) (   0) (   3) (F5B9C1C8) (   6) libc-2.23.so                   + 0011FB55 ???                            + 00000000
libc-2.23.so                   + 0011FB55 (   2) (   0) (   0) (F5B9C1CC) (   2) ???                            + 00000000 ???                            + 00000000
libc-2.23.so                   + 0005FCAB (   4) (   0) (   3) (F5B9C19C) (   4) libc-2.23.so                   + 000755C0 ???                            + 00000000
libc-2.23.so                   + 000755C0 (   4) (   0) (   2) (F5B9C19C) (   4) libc-2.23.so                   + 000755F1 libc-2.23.so                   + 000755CD
libc-2.23.so                   + 000755F1 (   6) (   0) (   2) (F5B9C19C) (   6) libc-2.23.so                   + 00075659 libc-2.23.so                   + 00075601
libc-2.23.so                   + 00075601 (   3) (   0) (   2) (F5B9C19C) (   3) libc-2.23.so                   + 00075659 libc-2.23.so                   + 0007560B
libc-2.23.so                   + 0007560B (   6) (   0) (   2) (F5B9C19C) (   6) libc-2.23.so                   + 00075659 libc-2.23.so                   + 0007561B
libc-2.23.so                   + 0007561B (   3) (   0) (   2) (F5B9C19C) (   3) libc-2.23.so                   + 00075659 libc-2.23.so                   + 00075625
libc-2.23.so                   + 00075625 (   6) (   0) (   2) (F5B9C19C) (   6) libc-2.23.so                   + 00075659 libc-2.23.so                   + 00075635
libc-2.23.so                   + 00075659 (   4) (   0) (   2) (F5B9C19C) (   4) libc-2.23.so                   + 00075676 libc-2.23.so                   + 00075667
libc-2.23.so                   + 00075667 (   3) (   0) (   2) (F5B9C19C) (   3) libc-2.23.so                   + 00075676 libc-2.23.so                   + 0007566C
libc-2.23.so                   + 0007566C (   4) (   0) (   2) (F5B9C19C) (   4) libc-2.23.so                   + 00075676 libc-2.23.so                   + 00075675
libc-2.23.so                   + 00075675 (   3) (   0) (   0) (F5B9C1A0) (   3) ???                            + 00000000 ???                            + 00000000
libc-2.23.so                   + 0005FCBC (   8) (   0) (   2) (F5B9C1B0) (   8) libc-2.23.so                   + 0005FD1E libc-2.23.so                   + 0005FCD6
